SKU,Lines,LooseUOH1Lines,LooseUOH1sperLooseUOH1Lines,FullUOH2Lines,FullUOH2sperFullUOH2Lines,FullUOH3Lines,FullUOH3sperFullUOH3Lines,ShipDate,1,2,3,4,A,C,M,P,R
CBIN006140X,4.77912349311153,0.17647058823529413,4.476190476190476,0.9663865546218487,12.660869565217391,0.31932773109243695,2.5,37,0.0,0.8823529411764706,0.11764705882352941,0.0,0,1,0,0,0
CBIN006141X,2.6390573296152584,0.2857142857142857,6.0,1.0,11.642857142857142,0.14285714285714285,1.0,9,0.0,0.8571428571428571,0.14285714285714285,0.0,0,1,0,0,0
CBIN006142X,0.6931471805599453,0.5,6.0,1.0,14.0,0.5,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006144X,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006147X,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006148,0.6931471805599453,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006148X,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006150X,1.0986122886681098,0.0,0.0,1.0,6.0,1.0,2.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006151X,2.4849066497880004,0.16666666666666666,2.0,1.0,7.333333333333333,0.9166666666666666,2.272727272727273,11,0.0,0.9166666666666666,0.08333333333333333,0.0,0,1,0,0,0
CBIN006153X,1.0986122886681098,0.6666666666666666,2.0,1.0,5.0,0.6666666666666666,2.5,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006154X,2.4849066497880004,0.4166666666666667,2.4,0.9166666666666666,10.090909090909092,0.75,3.3333333333333335,9,0.0,0.9166666666666666,0.08333333333333333,0.0,0,1,0,0,0
CBIN006155,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006155X,0.6931471805599453,0.5,4.0,1.0,13.5,0.5,1.0,2,0.0,0.5,0.5,0.0,0,1,0,0,0
CBIN006156,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006156X,0.6931471805599453,0.5,1.0,1.0,11.0,0.5,4.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006168X,2.9444389791664403,0.21052631578947367,2.75,0.3684210526315789,6.0,1.0,4.0,15,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006169X,3.1354942159291497,0.30434782608695654,3.857142857142857,0.4782608695652174,6.2727272727272725,1.0,3.5652173913043477,18,0.0,0.782608695652174,0.21739130434782608,0.0,0,1,0,0,0
CBIN006170,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006170X,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006171X,1.3862943611198906,0.0,0.0,1.0,9.0,0.0,0.0,4,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006172,1.6094379124341003,0.8,4.5,0.6,5.333333333333333,0.6,5.0,4,0.0,0.2,0.8,0.0,0,1,0,0,0
CBIN006173,1.9459101490553132,0.5714285714285714,4.0,0.5714285714285714,9.0,0.5714285714285714,3.5,6,0.0,0.14285714285714285,0.8571428571428571,0.0,0,1,0,0,0
CBIN006174X,1.0986122886681098,0.6666666666666666,4.0,0.6666666666666666,4.0,0.6666666666666666,4.5,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0,1,0,0,0
CBIN006175X,1.0986122886681098,0.3333333333333333,2.0,1.0,7.333333333333333,0.6666666666666666,1.0,3,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006177X,3.5263605246161616,0.3235294117647059,3.4545454545454546,0.4411764705882353,5.0,0.7647058823529411,1.5769230769230769,13,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006178X,0.0,0.0,0.0,1.0,6.0,1.0,2.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006179X,0.6931471805599453,0.0,0.0,1.0,15.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006180X,0.6931471805599453,0.5,2.0,1.0,7.5,1.0,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006182X,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
