SKU,Lines,LooseUOH1Lines,UOH1perLine,FullUOH2Lines,UOH2perLine,FullUOH3Lines,UOH3perLine,ShipDate,A,C,M,P,R,1,2,3,4,A_oca,P_oca,C_oca,R_oca,M_oca,EUC,MIL,OLD,36_cluster,36_of,42_cluster,42_of,46_cluster,46_of,50_cluster,50_of,39_cluster,39_of,44_cluster,44_of
AOGA005202,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
AOGA005203,23,0.8695652173913043,3.5,0.7391304347826086,3.411764705882353,0.13043478260869565,1.0,22,1,0,0,0,0,0.43478260869565216,0.2608695652173913,0.08695652173913043,0.21739130434782608,0.9077490774907749,0.09225092250922509,0.0,0.0,0.0,18.0,0.0,5.0,0.0,0.9788565572211878,,,0.0,1.064516616986106,,,0.0,0.9520955780291365,0.0,1.0159903549421243
AOGA005204,18,0.9444444444444444,2.8823529411764706,0.4444444444444444,2.375,0.1111111111111111,1.0,17,1,0,0,0,0,0.5555555555555556,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.8806818181818182,0.11931818181818182,0.0,0.0,0.0,12.0,0.0,6.0,0.0,1.35018618668932,,,0.0,1.351098901107687,,,0.0,1.0052479678368726,0.0,0.9869675206437789
AOGA005210,15,0.3333333333333333,2.4,0.8,5.916666666666667,0.13333333333333333,1.0,11,1,0,0,0,0,0.2,0.2,0.0,0.6,0.8571428571428571,0.12857142857142856,0.0,0.0,0.014285714285714285,14.0,0.0,1.0,0.0,0.9914290017285197,,,0.0,0.9999999999999616,,,0.0,1.2859084452203233,0.0,0.9869675206437789
AOGA005221,47,0.23404255319148937,2.8181818181818183,0.2978723404255319,3.5714285714285716,0.9148936170212766,10.418604651162791,43,1,0,0,0,0,0.1276595744680851,0.02127659574468085,0.19148936170212766,0.6595744680851063,1.0,0.0,0.0,0.0,0.0,12.0,0.0,35.0,0.0,0.9777759818262352,,,0.0,1.270109388374071,,,0.0,1.1319427412810685,0.0,1.0022594108511964
AOGA005222,4,0.25,4.0,0.25,2.0,1.0,1.5,4,1,0,0,0,0,0.25,0.0,0.5,0.25,0.9047619047619048,0.09523809523809523,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,0.0,1.1709220632193484,0.0,0.9894442780184278
AOGA005223,153,0.13071895424836602,2.6,0.1503267973856209,3.4347826086956523,0.9803921568627451,13.813333333333333,127,1,0,0,0,0,0.5294117647058824,0.0915032679738562,0.1437908496732026,0.23529411764705882,1.0,0.0,0.0,0.0,0.0,119.0,0.0,34.0,0.0,1.2111032329887332,0.0,1.0285714285715588,0.0,1.1357090801989054,0.0,1.0285714285758691,0.0,1.3871177493565219,0.0,1.6263709921651355
AOGA005224,87,0.28735632183908044,5.68,0.3448275862068966,6.066666666666666,0.6206896551724138,1.0,75,1,0,0,0,0,0.5287356321839081,0.12643678160919541,0.06896551724137931,0.27586206896551724,0.837160751565762,0.162839248434238,0.0,0.0,0.0,80.0,0.0,7.0,0.0,0.9675414628740254,,,0.0,1.0161502212254674,,,0.0,0.9974333054159364,0.0,1.007733654687611
AOGA005225,114,0.21929824561403508,4.96,0.2807017543859649,6.28125,0.7456140350877193,1.0470588235294118,94,1,0,0,0,0,0.4298245614035088,0.2543859649122807,0.13157894736842105,0.18421052631578946,0.7728437233134073,0.22715627668659266,0.0,0.0,0.0,95.0,0.0,19.0,0.0,1.0290520524660276,0.0,1.0142857142860175,0.0,1.028584620323843,0.0,1.0142857142876192,0.0,1.0,0.0,1.0321203416768703
AOGA005226,10,0.2,8.0,0.2,7.0,0.8,1.0,9,1,0,0,0,0,0.0,0.0,0.2,0.8,0.8157894736842105,0.18421052631578946,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,0.0,1.760672350109499,0.0,1.0279868425907446
